Timestamp,Age,Gender,Profession,Outfit,Color,Priority,Wardrobe,Shopping_Frequency,Influence,Shopping_Location,Events,Experimentation,Footwear,Activity,Comfort,Preference,Personality,Style_Section,Extra
14/01/2025 19:33:18,18–24,Female,Student,"Chic (e.g., tailored, stylish)","Pastels (soft pink, baby blue)",Slightly prefer aesthetics,Mix-and-match (varied styles),Rarely,Comfort,Local boutiques,#NAME?,Sometimes experiment,Sneakers,Mostly sedentary,#NAME?,"Mostly trendy, some timeless",8,,
21/01/2025 22:13:55,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Slightly prefer functionality,Mix-and-match (varied styles),Every few months,Sustainability,Thrift stores,#NAME?,Sometimes experiment,Sandals/Flats,Moderately active,#NAME?,"Mostly timeless, some trendy",6,,
21/01/2025 22:24:31,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer functionality,Minimalist (few versatile pieces),Monthly,Comfort,Local boutiques,#NAME?,Rarely experiment,Sneakers,Moderately active,#NAME?,"Mostly timeless, some trendy",9,,
21/01/2025 22:25:53,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Specialized (specific to one style),Every few months,Comfort,Thrift stores,#NAME?,Sometimes experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",#NAME?,Always timeless,6,,
21/01/2025 22:38:46,18–24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer aesthetics,Minimalist (few versatile pieces),Rarely,Comfort,Thrift stores,#NAME?,Rarely experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",#NAME?,"Mostly timeless, some trendy",6,,
21/01/2025 22:57:36,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer functionality,Minimalist (few versatile pieces),Rarely,Comfort,Local boutiques,#NAME?,Rarely experiment,Sandals/Flats,Mostly sedentary,#NAME?,Equal mix of both,6,,
21/01/2025 22:58:02,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Comfort,Fast fashion stores,#NAME?,Sometimes experiment,Sneakers,Moderately active,#NAME?,"Mostly trendy, some timeless",4,,
21/01/2025 23:03:27,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Slightly prefer aesthetics,Minimalist (few versatile pieces),Monthly,Trends,Fast fashion stores,#NAME?,Rarely experiment,Sneakers,Moderately active,#NAME?,"Mostly timeless, some trendy",4,,
21/01/2025 23:03:50,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Rarely,Trends,Fast fashion stores,#NAME?,Always experiment,Sandals/Flats,Moderately active,#NAME?,"Mostly trendy, some timeless",10,,
21/01/2025 23:04:04,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Equal balance of both,Specialized (specific to one style),Rarely,Comfort,Local boutiques,#NAME?,Rarely experiment,Sneakers,Moderately active,#NAME?,"Mostly timeless, some trendy",9,,
21/01/2025 23:04:19,18–24,Female,Student,"Casual (e.g., jeans, t-shirts)","Pastels (soft pink, baby blue)",Slightly prefer functionality,Mix-and-match (varied styles),Every few months,Comfort,Local boutiques,#NAME?,Rarely experiment,Sneakers,Moderately active,#NAME?,Equal mix of both,9,,
